hrr_id,hrr_name,state,number_of_deaths_among_cancer_patients_2012,percent_of_cancer_patients_dying_in_hospital_2012,percent_of_cancer_patients_dying_in_hospital_2012_2,percent_of_cancer_patients_dying_in_hospital_2012_3,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_2012_deaths,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_2012_deaths_2,percent_of_cancer_patients_admitted_to_hospital_during_the_last_month_of_life_2012_deaths_3,hospital_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths,hospital_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths_2,hospital_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths_3,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_2012_deaths,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_2012_deaths_2,percent_of_cancer_patients_admitted_to_intensive_care_during_the_last_month_of_life_2012_deaths_3,icu_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths,icu_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths_2,icu_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths_3,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_2012_deaths,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_2012_deaths_2,percent_of_cancer_patients_receiving_life_sustaining_treatment_during_the_last_month_of_life_2012_deaths_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_2012_deaths,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_2012_deaths_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_month_of_life_2012_deaths_3,hospice_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths,hospice_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths_2,hospice_days_per_cancer_patient_during_the_last_month_of_life_2012_deaths_3,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_2012_deaths,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_2012_deaths_2,percent_of_cancer_patients_enrolled_in_hospice_during_the_last_three_days_of_life_2012_deaths_3,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_2012_deaths,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_2012_deaths_2,percent_of_cancer_patients_seeing_ten_or_more_physicians_during_the_last_six_months_of_life_2012_deaths_3
HRR ID,HRR Name,State,Number of deaths among cancer patients (2012),Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit,Point estimate,Lower conf. limit,Upper conf. limit
329,Columbus,OH,1825,18.0931203522006,16.2352498273836,20.1635951130893,60.0867523928619,56.6037499661125,63.7840746466899,4.13646576151899,3.87548334905083,4.39744817398715,28.4674041676215,26.1096332140639,31.0380882564906,1.18049455082139,1.01489619704346,1.34609290459931,10.9114630284034,9.48273717329607,12.5554492594707,68.2432214928975,64.5121931175364,72.1900319098392,10.2039111309503,9.69256955762097,10.7152527042796,11.8406932498202,10.352970134068,13.542202365192,60.0643836449775,56.5711348512724,63.7733393918276
330,Dayton,OH,765,17.53324042103,14.7735303587839,20.8084670485589,60.1946404161987,54.8708526420463,66.0349631975453,4.67688383168472,4.27599481991864,5.07777284345079,32.0624178807308,28.2544079379897,36.3836553437879,1.73877558050315,1.48440380208218,1.99314735892412,12.8090201742288,10.4724709746985,15.6668849424551,69.678336945766,63.983027413504,75.8806020251396,9.77588643888667,8.99042654498708,10.5613463327863,14.3510198025132,11.8700879230489,17.3504838976143,61.9557943948518,56.6361726341549,67.7750681334405
331,Elyria,OH,223,20.1739271596742,15.0063238967735,27.1210550860726,66.7634464146057,56.7194371679174,78.5860720719065,5.232298604551,4.4922659123116,5.9723312967904,40.0827968158157,32.5476381371293,49.3624328072264,2.18877328399116,1.7192083258864,2.65833824209591,13.6184146136196,9.51355464006894,19.4944186064088,65.9393487257544,56.0812548248055,77.5303213874143,9.80699805048801,8.35705559043433,11.2569405105417,13.118734826535,9.1098617286897,18.8917470511045,69.8751809122671,59.8511074200346,81.5781214081207
332,Kettering,OH,269,15.1762882047744,11.1700993757972,20.6193083808563,54.1918924559879,46.014347010026,63.8227291875178,4.15646089177976,3.482546737149,4.83037504641051,25.5031041088341,20.1348034210371,32.3026903012361,1.22985463496819,0.802243159010557,1.65746611092582,9.92556468576766,6.75296643878812,14.5886752472944,76.5647737655703,66.7716952681869,87.7941552663552,12.1897185552308,10.8693218248196,13.5101152856421,12.1922119957353,8.66160756992014,17.1619450718572,63.1445467449869,54.3823465724541,73.3185313788844
334,Toledo,OH,726,17.2822358608765,14.5042645933658,20.592266117896,58.1860972398577,52.84107294477,64.0717858917222,4.13156112561437,3.72023858224435,4.54288366898439,30.3212494321901,26.5589043088409,34.6165698869982,1.71347341706141,1.4524813624258,1.97446547169702,9.54050128559743,7.53945196788835,12.0726499973949,73.4870707811782,67.465803126349,80.0457316410241,11.5112107885089,10.7053085268065,12.3171130502113,11.1311199541367,8.93185237277796,13.8719076695672,62.5466905525913,57.102313504442,68.5101576274539
335,Youngstown,OH,532,21.2963541096337,17.6708508521122,25.6656966978305,65.7325336722646,59.1205551331831,73.083988694657,5.06441954670614,4.58450639721943,5.54433269619284,41.7348341597353,36.5345419895795,47.6753310014782,2.21346724813302,1.90895313639733,2.5179813598687,13.2302421570221,10.4199141322723,16.7985364669482,65.2244720415173,58.698842683938,72.4755643991389,9.20398432388884,8.26369282072135,10.1442758270563,13.5461637758434,10.7249464058205,17.1095076934266,61.6596385622279,55.3362216150333,68.7056491510022
336,Lawton,OK,223,23.6022386283283,18.0230807647541,30.9084598543189,59.7746002130762,50.3546798660013,70.956718226413,4.49928435299518,3.75931470519962,5.23925400079074,24.9312847991339,19.1795189167881,32.4079537360793,0.763082651657076,0.293557696462925,1.23260760685123,12.0017811489135,8.22409388194725,17.5147259763905,58.9322641559364,49.6448861684687,69.9570897747552,10.3370050939095,8.88718615652847,11.7868240312905,8.55719913695212,5.45518293351169,13.4231350189234,34.9424489116739,28.1344492502834,43.3978545335357
339,Oklahoma City,OK,1505,24.9285568327103,22.5271711106761,27.5859291301409,59.6056636058439,55.813372802992,63.6556250852944,4.40996915990383,4.12310710688356,4.69683121292409,25.4861441776197,23.0570520116026,28.1711445468207,1.0952358051498,0.91321632233386,1.27725528796574,7.14432998255526,5.91380821868233,8.63089383561557,63.7410796724281,59.7978495952327,67.9443368834911,10.2527889450966,9.69074151771395,10.8148363724793,10.2962794862652,8.79396878749329,12.0552362444198,41.1265481856462,37.9859475169254,44.5268073124315
340,Tulsa,OK,1085,23.2542610289282,20.5855330730159,26.2689653983444,63.2671661720293,58.7244242454206,68.1613207259551,4.77670200850428,4.43978399563857,5.11362002137,31.1941290506895,28.0586923756981,34.6799371190177,1.44624969851623,1.23246874768109,1.66003064935136,10.5086565698958,8.75566761378334,12.6126147970911,66.0743714776667,61.3684507457869,71.1411566222147,10.2422994494456,9.58217762302647,10.9024212758646,11.0893218312743,9.28281872047152,13.2473834059025,52.7339270855592,48.5232618839128,57.3099778930367
341,Bend,OR,134,14.8494615324375,9.57779133098932,23.0226886536861,43.0627436591591,33.2866371128902,55.7100401931661,2.306726298765,1.35286766044715,3.26058493708284,17.7957403422579,11.9253467476022,26.555904916789,0.465791566273763,,1.07103319442968,,,,79.4223413133263,65.7002760003267,96.0103774854633,14.7012281914652,12.8323375936717,16.5701187892587,,,,44.9310814687587,34.8051348006359,58.0029956360158
342,Eugene,OR,483,20.1980949780736,16.5792506665245,24.6068443591972,53.9653429808256,47.8645255231043,60.8437712734119,3.41766072280667,2.91447728453258,3.92084416108076,26.681772955461,22.4588140817211,31.6987800627545,1.01143861205632,0.692159055098933,1.33071816901371,3.17191957716904,1.91141865008559,5.26366832487362,64.0844125542353,57.328846654864,71.636046633654,10.6415149558073,9.65563008882719,11.6273998227875,7.79499093182942,5.69206469431964,10.6748406580726,39.1267998479328,33.7719637022692,45.3306914527251
343,Medford,OR,418,21.4720475670391,17.4955361053551,26.3523691954813,55.744555596088,49.1204366981773,63.2619676754758,3.33453234858604,2.79371118624889,3.87535351092319,19.8731855164694,16.061689906953,24.5891624642211,0.614737042122532,0.271575626284897,0.957898457960167,7.49219724792312,5.26565802254282,10.6602098657899,62.5351229570651,55.3761690742347,70.6195764104379,10.3480115379769,9.28838326102156,11.4076398149321,10.4960907479213,7.8566149191854,14.0223139509582,39.1454306067984,33.4343401405605,45.8320616153778
344,Portland,OR,1006,20.6030884935355,17.9675164029528,23.625260495251,58.5519495243581,54.0257222074238,63.4573801705122,3.55475950767574,3.20514126945463,3.90437774589685,19.2213832138522,16.6841082495269,22.1445202301559,0.583773050427195,0.361933562652453,0.805612538201937,5.40144854895673,4.11280379777346,7.09385807385744,67.5064454456151,62.607151722495,72.7891311347489,11.1013343523756,10.4163290360943,11.7863396686569,9.7869610788847,8.04542849989636,11.9054699399588,46.2241648769409,42.1001648792396,50.7521389690389
